Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
immigrant,The Washington Post,Nick Miroff,Hospital where activists say ICE detainees were subjected to hysterectomies says just two were performed there - The Washington Post,https://www.washingtonpost.com/immigration/ice-detainee-hysterectomies-hospital/2020/09/22/aaf2ca7e-fcfd-11ea-830c-a160b331ca62_story.html,"According to a complaint filed last week by immigrant advocates and attorneys, a former nurse who worked at the Irwin County Detention Center, Dawn Wooten, claimed that a doctor known as the uterus c… [+4796 chars]",2020-09-22T20:10:00Z,0.0,0.0,0.0,1.0
immigrant,The Washington Post,"Nick Miroff, Devlin Barrett","ICE preparing targeted arrests in ‘sanctuary cities,’ amplifying president’s campaign theme - The Washington Post",https://www.washingtonpost.com/immigration/trump-ice-raids-sanctuary-cities/2020/09/29/99aa17f0-0274-11eb-8879-7663b816bfa5_story.html,"Chad Wolf, acting secretary of the Department of Homeland Security, probably will travel to at least one of the jurisdictions where the operation will take place to boost President Trumps claims that… [+6087 chars]",2020-09-29T22:37:00Z,-0.4404,0.182,0.0,0.818
immigrant,The Washington Post,Tim Elfrink,‘They’re still not taking this seriously’: Whistleblowing nurse warns of covid-19 safety neglect at ICE facility - Washington Post,https://www.washingtonpost.com/nation/2020/09/15/ice-covid-irwin-complaint-nurse/,"Ms. Wootens whistleblowing disclosures confirm what detained immigrants have been reporting for years: gross disregard for health and safety standards, lack of medical care, and unsanitary living con… [+4579 chars]",2020-09-15T10:39:00Z,-0.1531,0.198,0.126,0.676
immigrant,The Washington Post,"James A. McCann, Michael Jones-Correa",Trump’s attacks prompted Latino immigrants to get more involved in American civic life,https://www.washingtonpost.com/politics/2020/10/01/trumps-attacks-prompted-latino-immigrants-get-more-involved-american-civic-life/,"How has all this affected Latino immigrants, the targets of this rhetoric and these policies? We surveyed Latino immigrants before and after the election and found patterns of civic resilience. Latin… [+5399 chars]",2020-10-01T11:00:12Z,-0.4404,0.195,0.0,0.805
immigrant,The Washington Post,Steven Moore,ICE is accused of sterilizing detainees. That echoes the U.S.’s long history of forced sterilization.,https://www.washingtonpost.com/politics/2020/09/25/ice-is-accused-sterilizing-detainees-that-echoes-uss-long-history-forced-sterilization/,"Forced sterilization in the U.S.
Since the early 20th century, thousands of Americans have been forcibly sterilized. Thirty-three states had eugenics boards with the power to order sterilizations. O… [+4745 chars]",2020-09-25T11:00:00Z,-0.6369,0.286,0.0,0.714
immigrant,The Washington Post,Valerie Strauss,A novel proposal to help millions of kids struggling with online school,https://www.washingtonpost.com/education/2020/09/23/novel-proposal-help-millions-kids-struggling-with-online-school/,"Vikki Katz, an associate professor in the School of Communication and Information at Rutgers University, has a novel idea about how to get help to millions of students, which she writes about below. … [+5661 chars]",2020-09-23T17:13:19Z,0.296,0.177,0.316,0.506
immigrant,The Washington Post,Jennifer Rubin,Trump’s racism and xenophobia haven’t caught on,https://www.washingtonpost.com/opinions/2020/09/13/trump-racism-xenophobia-havent-caught/,"For all of Trumps Confederate flag-waving, race-baiting and efforts to play on White grievance, the public remains supportive of Black Lives Matters, recognizes the existence of systemic racism and s… [+4202 chars]",2020-09-13T14:00:06Z,-0.6249,0.406,0.0,0.594
immigrant,The Washington Post,Michael O'Sullivan,"New movies to stream this week: ‘The Glorias,’ ‘Blood on the Wall,’ and more",https://www.washingtonpost.com/goingoutguide/movies/october-2-new-streaming-movie-roundup/2020/09/30/f4010966-fde7-11ea-8d05-9beaaa91c71f_story.html,"Michael O'Sullivan
Mrs. America tells the story of the womens movement from the dark side of the Force
The unsettling documentary Blood on the Wall bites into a huge mouthful of story: How the immi… [+3179 chars]",2020-10-01T14:00:00Z,0.0,0.0,0.0,1.0
immigrant,The Washington Post,Greg Sargent,Trump’s ugly rant in Minnesota shows why Republicans fear he’ll lose,https://www.washingtonpost.com/opinions/2020/10/01/trumps-ugly-rant-minnesota-shows-why-republicans-fear-hell-lose/,But Trumps latest rant at a rally in Minnesota along with a new election forecast that shows him losing Midwestern whites and a new report on rising GOP anxiety about Trump strongly suggests his pret… [+5373 chars],2020-10-01T14:41:10Z,-0.891,0.624,0.0,0.376
immigrant,The Washington Post,Greg Sargent,The Trump mythology is collapsing. And the 9/11 anniversary shows how.,https://www.washingtonpost.com/opinions/2020/09/11/trump-mythology-is-collapsing-911-anniversary-shows-how/,"With President Trump and challenger Joe Biden both commemorating the anniversary of Sept. 11 on Friday, that bookending of the post-9/11 era captures something essential about our current moment: In … [+5974 chars]",2020-09-11T15:06:57Z,-0.296,0.18,0.0,0.82
immigrant,The Washington Post,Paulina Villegas,"Despite Trump’s actions against immigrants, these Latino voters want four more years",https://www.washingtonpost.com/politics/2020/09/24/arizona-latino-trump-supporters/,Saucedo is among a coalition of Republican Latinos in the battleground state of Arizona who believe having President Trump for a second term would guarantee their concerns and conservative social val… [+7957 chars],2020-09-24T15:23:05Z,0.0772,0.0,0.106,0.894
immigrant,The Washington Post,Tim Carman,"Peking duck isn’t the same without the tableside show, but it’s still mighty fine",https://www.washingtonpost.com/goingoutguide/restaurants/peking-duck-restaurants/2020/10/06/0a7c809c-04fc-11eb-a2db-417cddf4816a_story.html,"For a price, you are dropped into another world, where you become someone whos waited on like a member of the landed aristocracy, even if youre a middle-class grinder like me. This experience is larg… [+6543 chars]",2020-10-06T13:30:00Z,0.296,0.0,0.145,0.855
immigrant,The Washington Post,Jennifer Rubin,Trump might want to stop fighting the culture wars. He’s losing.,https://www.washingtonpost.com/opinions/2020/09/11/trump-might-want-stop-fighting-culture-wars-hes-losing/,"When it comes to serenity in the suburbs and elsewhere, polls show that he trails Democratic nominee Joe Biden. In a Morning Consult-Politico survey, Biden leads 47 percent to 39 percent on who voter… [+4183 chars]",2020-09-11T13:45:48Z,-0.8625,0.599,0.071,0.33
immigrant,The Washington Post,Jennifer Rubin,New report on Trump’s child separation policy makes it clear: Cruelty was always the point,https://www.washingtonpost.com/opinions/2020/10/08/cruelty-was-always-point-lies-standard-procedure/,"The depravity of the policy was captured by Justice Department Inspector General Michael Horowitz, as the New York Times reported on Tuesday night. Despite repeated public denials that the Justice De… [+4775 chars]",2020-10-08T13:30:28Z,-0.3182,0.2,0.133,0.667
immigrant,The Washington Post,Glenn Kessler,Trump’s Social Security-illegal immigration attack on Biden misses its mark,https://www.washingtonpost.com/politics/2020/09/18/trumps-social-security-illegal-immigration-attack-biden-misses-its-mark/,The ad cites a Fox News article from 2019 as the source for that claim. But that article recounts Biden saying he would support allowing undocumented immigrants access to health care. (The Biden camp… [+7980 chars],2020-09-18T07:00:22Z,-0.6124,0.385,0.0,0.615
immigrant,The Washington Post,"Danielle Paquette, Borso Tall",'Cuties' sparked outrage in the U.S. The reception in Senegal was vastly different.,https://www.washingtonpost.com/world/africa/senegal-cuties-film/2020/09/16/fb8a1272-f824-11ea-85f7-5941188a98cd_story.html,"DAKAR, Senegal Lawmakers in the United States have condemned Cuties, accusing the controversial French films creators of exploiting children. But viewers in the Senegalese capital saw no such thing a… [+4313 chars]",2020-09-16T17:18:33Z,-0.5106,0.216,0.0,0.784
immigrant,The Washington Post,Sonny Bunch,"If ‘Cuties’ disturbs you, that’s good. What are you going to do about it?",https://www.washingtonpost.com/opinions/2020/09/15/if-cuties-disturbs-you-thats-good-what-are-you-going-do-about-it/,"Cuties follows an 11-year-old Senegalese immigrant to France named Amy (Fathia Youssouf) who finds herself repulsed by her traditional Muslim upbringing. But the alternative, the movie suggests, is k… [+3769 chars]",2020-09-15T13:48:27Z,0.0,0.163,0.163,0.674
immigrant,The Washington Post,E.J. Dionne,Amy Coney Barrett and the GOP’s hypocrisy about religion,https://www.washingtonpost.com/opinions/amy-coney-barrett-and-the-gops-hypocrisy-about-religion/2020/09/27/15fac350-00d0-11eb-897d-3a6201d6643f_story.html,"To divert attention from Barretts views and their wanton flouting of historical norms, her Republican defenders offered dire warnings about a coming religious war. They insisted that anyone who expre… [+5138 chars]",2020-09-27T16:12:45Z,0.0,0.0,0.0,1.0
immigrant,The Washington Post,Greg Miller,Allegations of racism have marked Trump’s presidency and become key issue as election nears,https://www.washingtonpost.com/national-security/trump-race-record/2020/09/23/332b0b68-f10f-11ea-b796-2dd09962649c_story.html,"Trumps private musings about Hispanics match the vitriol he has displayed in public, and his antipathy to Africa is so ingrained that when first lady Melania Trump planned a 2018 trip to that contine… [+30767 chars]",2020-09-23T14:29:10Z,-0.6249,0.24,0.0,0.76
immigrant,The Washington Post,Sean Sullivan,Latino groups warn that Biden’s sluggish outreach could have devastating results,https://www.washingtonpost.com/politics/latino-groups-warn-that-bidens-sluggish-outreach-could-have-devastating-results/2020/09/13/82dab318-f44b-11ea-bc45-e5d48ab44b9f_story.html,"Within the last two weeks, theyve been making an effort to put all the pieces in place, said José Parra, who served as a senior adviser to Harry M. Reid when he was Senate majority leader and lives i… [+12919 chars]",2020-09-13T22:49:16Z,-0.743,0.48,0.12,0.4
